>> disp('tbl_acc0'); disp(tbl_acc0); 
disp('tbl_prc0'); disp(tbl_prc0); 
disp('tbl_rcl0'); disp(tbl_rcl0);
tbl_acc0
    Var1                      study                      HerdingSpikes2    IronClust    JRClust    KiloSort    KiloSort2    Klusta    MountainSort4    SpykingCircus    Tridesclous    Waveclus    nUnits
     20     'synth_magland_noise10_K20_C8'                     NaN            0.97       0.954       0.96        0.987      0.923         0.958            0.919           0.916          NaN        174 
     21     'synth_magland_noise20_K10_C4'                     NaN           0.989       0.984       0.93        0.961      0.813         0.997            0.878           0.931          NaN         14 
     22     'synth_magland_noise20_K10_C8'                     NaN           0.997       0.998       0.91        0.997      0.853         0.999             0.99           0.799          NaN         12 
     23     'synth_magland_noise20_K20_C4'                     NaN           0.975       0.928      0.932        0.942      0.827          0.98            0.759           0.468          NaN         22 
     24     'synth_magland_noise20_K20_C8'                     NaN           0.984       0.949      0.931        0.982      0.773          0.99            0.868           0.905          NaN         27 
     25     'manual_tetrode_600s'                              NaN           0.856       0.765      0.951        0.907      0.793         0.888            0.722           0.612          NaN         89 
     26     'manual_tetrode_1200s'                             NaN           0.849       0.751      0.943        0.881      0.747         0.859            0.727           0.598          NaN         46 
     27     'manual_tetrode_2400s'                             NaN           0.875       0.837      0.942        0.854       0.72         0.882            0.606           0.657          NaN         23 
     28     'synth_mearec_neuronexus_noise10_K10_C32'          NaN           0.992       0.985      0.976        0.999      0.823         0.953            0.938           0.976          NaN         27 
     29     'synth_mearec_neuronexus_noise10_K20_C32'          NaN           0.989       0.958      0.963        0.998      0.902         0.954            0.958           0.869          NaN         40 
     30     'synth_mearec_neuronexus_noise10_K40_C32'          NaN           0.979       0.942      0.981        0.997      0.888          0.96            0.951           0.886          NaN         60 
     31     'synth_mearec_neuronexus_noise20_K10_C32'          NaN           0.997       0.895      0.999        0.679       0.89         0.778                1           0.999          NaN          4 
     32     'synth_mearec_neuronexus_noise20_K20_C32'          NaN           0.994       0.966          1        0.997      0.903         0.999            0.959           0.997          NaN         13 
     33     'synth_mearec_neuronexus_noise20_K40_C32'          NaN           0.989       0.972      0.966        0.998      0.912         0.924             0.97           0.899          NaN         28 
     34     'synth_mearec_tetrode_noise10_K10_C4'              NaN           0.975       0.885      0.984            0      0.824          0.97            0.939           0.981          NaN         15 
     35     'synth_mearec_tetrode_noise10_K20_C4'              NaN           0.977        0.87      0.969        0.723      0.871         0.899            0.858           0.912          NaN         25 
     36     'synth_mearec_tetrode_noise20_K10_C4'              NaN           0.985       0.999      0.998            0      0.921             1            0.998           0.982          NaN          4 
     37     'synth_mearec_tetrode_noise20_K20_C4'              NaN           0.973       0.993      0.987            0      0.906         0.998            0.942           0.994          NaN          7 
     38     'mea_c30'                                        0.936           0.955           0       0.87        0.976          0         0.884            0.966           0.813          NaN         56 
     39     'hybrid_drift_siprobe'                           0.576           0.946        0.53      0.829        0.928        NaN          0.53            0.765           0.703          NaN        532 
     40     'hybrid_static_siprobe'                          0.926           0.967       0.962      0.969        0.988        NaN         0.871            0.948           0.795          NaN        578 
     41     'hybrid_drift_tetrode'                            0.46           0.958       0.696      0.902        0.606        NaN         0.677            0.803           0.796          NaN         52 
     42     'hybrid_static_tetrode'                          0.502           0.976       0.857      0.966        0.745        NaN         0.855            0.887           0.869          NaN         54 

>> 
